ID_Aluno;Nome_Completo;Data_Nascimento;Idade;Sexo;CPF;Telefone;Endereço;Bairro;Cidade;UF;Email;ID_Turma;Nome_Mãe;Nome_Pai;Data_Matrícula;Data_Rescisão
1;Caleb Machado;2017-03-06;7;M;52341389995;(11) 95668-1439;Travessa Morro Julia Farias;Itaquera;São Paulo;SP;caleb194@ig.com.br;616;Ana Lívia Machado;Carlos Eduardo Machado;2017-03-07;
2;Ana Sophia Ramos;2011-04-06;13;F;91805526996;(11) 97895-6986;Avenida Loteamento Jesus;São Mateus;São Paulo;SP;ana sophia.ramos@terra.com.br;634;Zoe Ramos;Heitor Ramos;2011-04-07;
3;Bianca Rezende;2015-09-25;9;F;86661889238;(11) 95546-2369;Travessa Sítio Brayan Marques;Brás;São Paulo;SP;brezende@terra.com.br;622;Yasmin Rezende;Benício Rezende;2015-09-26;
4;Alana Azevedo;2008-06-18;16;F;30316179905;(11) 91901-6067;Avenida Passarela Moraes;Brás;São Paulo;SP;alanaazevedo@ig.com.br;645;Maria Helena Azevedo;Mateus Azevedo;2008-06-19;
5;Ana Laura Nogueira;2017-04-22;7;F;24105648111;(11) 95308-2262;Alameda Quadra de Jesus;São Mateus;São Paulo;SP;ana lauranogueira@hotmail.com;618;Olívia Nogueira;Gael Nogueira;2017-04-23;
6;Eduarda Borges;2008-01-22;16;F;80003075606;(11) 93458-3932;Rua Residencial de Pires;Tatuapé;São Paulo;SP;eduardaborges@ig.com.br;643;Raquel Borges;Henrique Borges;2008-01-23;
7;Daniela Siqueira;2012-09-17;12;F;80238061784;(11) 95625-6090;Travessa Sítio João da Paz;Brás;São Paulo;SP;dsiqueira@outlook.com;633;Nina Siqueira;Thiago Siqueira;2012-09-18;
8;Esther Barros;2012-08-31;12;F;38320603882;(11) 96675-1157;Travessa Alameda Pires;Belém;São Paulo;SP;ebarros@uol.com.br;631;Alana Barros;;2012-09-01;
9;Luigi Araújo;2014-09-18;10;M;24103865702;(11) 92391-2565;Avenida Lagoa Novaes;Penha;São Paulo;SP;luigiaraújo@bol.com.br;625;Maria Isis Araújo;;2014-09-19;
10;João Sá;2007-07-28;17;M;43132912104;(11) 93693-8365;Alameda Condomínio Martins;Mooca;São Paulo;SP;joãosá@outlook.com;647;Esther Sá;Rafael Sá;2007-07-29;
11;Allana Cassiano;2018-10-09;6;F;49035213579;(11) 97492-9412;Rua Residencial Silva;Jardim Anália Franco;São Paulo;SP;allana32@uol.com.br;614;Isis Cassiano;Diego Cassiano;2018-10-10;
12;Caleb Cassiano;2010-11-29;14;M;32365199409;(11) 92228-1357;Rua Recanto Maria Julia da Cruz;Itaquera;São Paulo;SP;ccassiano@terra.com.br;637;Brenda Cassiano;Yago Cassiano;2010-11-30;
13;Davi Miguel Cassiano;2012-11-21;12;M;67066253220;(11) 95505-5585;Alameda Trevo Moraes;Carrão;São Paulo;SP;dcassiano@bol.com.br;631;Heloísa Cassiano;João Cassiano;2012-11-22;
14;Carolina Araújo;2016-05-13;8;F;38380657858;(11) 98940-6636;Travessa Loteamento Natália da Mata;Penha;São Paulo;SP;carolinaaraújo@gmail.com;;Vitória Araújo;Igor Araújo;2016-05-14;2016-12-20
15;Thales Cavalcante;2017-04-03;7;M;93213348041;(11) 94594-7363;Travessa Trecho Mariana Cassiano;Carrão;São Paulo;SP;tcavalcante@bol.com.br;616;Gabriela Cavalcante;Thomas Cavalcante;2017-04-04;
16;Josué da Cruz;2012-10-07;12;M;78427010394;(11) 94584-1326;Alameda Sítio Yasmin Garcia;Belém;São Paulo;SP;jda cruz@gmail.com;632;Alícia da Cruz;Emanuel da Cruz;2012-10-08;
17;Davi Brito;2012-11-14;12;M;18515691577;(11) 95944-6285;Avenida Feira de Oliveira;Carrão;São Paulo;SP;dbrito@terra.com.br;;Olívia Brito;;2012-11-15;2015-02-28
18;Josué Aragão;2012-01-02;12;M;92644220920;(11) 97415-1530;Avenida Area Anna Liz Souza;Vila Formosa;São Paulo;SP;josué.aragão@hotmail.com;633;Heloísa Aragão;Eduardo Aragão;2012-01-03;
19;Laís Cavalcante;2013-01-31;11;F;21570433173;(11) 96742-5205;Rua Via de Cassiano;Belém;São Paulo;SP;laíscavalcante@uol.com.br;;Ana Laura Cavalcante;;2013-02-01;2017-08-17
20;Maria Fernanda Viana;2013-05-09;11;F;32710405404;(11) 92715-2215;Travessa Trecho de Farias;Carrão;São Paulo;SP;maria fernanda.viana@uol.com.br;629;Alexia Viana;Luan Viana;2013-05-10;
21;Ana Sophia Moraes;2017-11-04;7;F;29620153352;(11) 97705-9849;Travessa Colônia Sara Marques;Jardim Anália Franco;São Paulo;SP;ana sophia51@uol.com.br;617;Julia Moraes;;2017-11-05;
22;Cauã da Luz;2007-08-05;17;M;97310324110;(11) 98758-2892;Travessa Distrito de Barbosa;Penha;São Paulo;SP;cauã272@outlook.com;;Luna da Luz;Benício da Luz;2007-08-06;2007-12-31
23;Gael Viana;2013-01-15;11;M;43490211522;(11) 99871-7782;Avenida Vale Isabella Rezende;Tatuapé;São Paulo;SP;gael839@bol.com.br;629;Mariana Viana;Enrico Viana;2013-01-16;
24;Heloísa Nogueira;2008-05-16;16;F;08989921752;(11) 93832-3738;Avenida Setor de Garcia;Itaquera;São Paulo;SP;heloísa81@ig.com.br;644;Yasmin Nogueira;;2008-05-17;
25;Benício Carvalho;2018-11-09;6;M;11686854857;(11) 98506-1202;Alameda Setor Brayan Pinto;Brás;São Paulo;SP;benício.carvalho@uol.com.br;615;Maria Luísa Carvalho;;2018-11-10;
26;Henry Moreira;2008-03-24;16;M;46799702486;(11) 97602-3356;Alameda Fazenda Fernando Lopes;Belém;São Paulo;SP;henry244@outlook.com;643;Isadora Moreira;Bruno Moreira;2008-03-25;
27;Antonella Siqueira;2019-02-24;5;F;13247546923;(11) 92462-4079;Alameda Colônia de Macedo;Itaquera;São Paulo;SP;asiqueira@ig.com.br;629;Maria Liz Siqueira;Diego Siqueira;2019-02-25;
28;Enzo Gabriel Cirino;2009-05-28;15;M;89023303088;(11) 98478-1828;Travessa Area Duarte;Itaquera;São Paulo;SP;enzo gabriel476@bol.com.br;640;Maysa Cirino;Thales Cirino;2009-05-29;
29;Diego Aragão;2016-12-17;8;M;98552414004;(11) 97333-1813;Avenida Praça João Vitor da Cruz;Vila Formosa;São Paulo;SP;diegoaragão@gmail.com;619;Ana Sophia Aragão;Léo Aragão;2016-12-18;
30;Calebe Azevedo;2013-10-13;11;M;07229034929;(11) 96004-5511;Alameda Esplanada Cavalcanti;Penha;São Paulo;SP;calebe259@gmail.com;629;Mariana Azevedo;;2013-10-14;
31;Raquel Nogueira;2008-05-10;16;F;58994417199;(11) 96509-5529;Travessa Viela de da Costa;Jardim Anália Franco;São Paulo;SP;rnogueira@ig.com.br;645;Bruna Nogueira;Theo Nogueira;2008-05-11;
32;Otto Nogueira;2013-05-19;11;M;20744666028;(11) 94111-6622;Avenida Quadra Porto;Tatuapé;São Paulo;SP;onogueira@uol.com.br;628;Ana Sophia Nogueira;Vitor Gabriel Nogueira;2013-05-20;
33;Mirella Rocha;2010-06-16;14;F;48251353415;(11) 97889-6428;Travessa Quadra da Paz;Jardim Anália Franco;São Paulo;SP;mirella872@outlook.com;639;Alexia Rocha;Murilo Rocha;2010-06-17;
34;Heitor Montenegro;2015-07-16;9;M;81684602245;(11) 94281-6614;Alameda Morro Ana Clara Porto;Vila Formosa;São Paulo;SP;heitormontenegro@gmail.com;624;Nina Montenegro;Emanuel Montenegro;2015-07-17;
35;Gustavo Henrique Cavalcante;2018-12-14;6;M;74329271217;(11) 98105-8035;Alameda Lagoa Miguel Gomes;Penha;São Paulo;SP;gustavo henriquecavalcante@uol.com.br;615;Brenda Cavalcante;Daniel Cavalcante;2018-12-15;
36;Ana Julia Araújo;2017-08-25;7;F;33542168907;(11) 96015-3736;Rua Travessa Elisa Oliveira;Belém;São Paulo;SP;aaraújo@uol.com.br;618;Raquel Araújo;Paulo Araújo;2017-08-26;
37;Hadassa Machado;2010-12-16;14;F;26033230905;(11) 99267-3768;Rua Viaduto Gonçalves;Mooca;São Paulo;SP;hmachado@terra.com.br;638;Maria Liz Machado;Emanuel Machado;2010-12-17;
38;Arthur Gabriel Ramos;2010-09-14;14;M;67618472300;(11) 91152-5933;Alameda Avenida de Pereira;Brás;São Paulo;SP;arthur gabrielramos@bol.com.br;;Brenda Ramos;Igor Ramos;2010-09-15;2020-07-04
39;Bruna Sousa;2016-05-08;8;F;73934835673;(11) 95839-3627;Rua Fazenda Clarice Câmara;Tatuapé;São Paulo;SP;bsousa@ig.com.br;621;Agatha Sousa;Henrique Sousa;2016-05-09;
40;Daniel Martins;2015-01-18;9;M;72181143742;(11) 95850-5327;Alameda Viaduto de Rodrigues;Belém;São Paulo;SP;dmartins@gmail.com;;Zoe Martins;Miguel Martins;2015-01-19;2021-10-16
41;Raquel Guerra;2017-06-20;7;F;02255794184;(11) 97105-6615;Avenida Via de Aparecida;Brás;São Paulo;SP;raquel279@terra.com.br;617;Alexia Guerra;Davi Miguel Guerra;2017-06-21;
42;Olívia Azevedo;2011-02-12;13;F;16979729627;(11) 96875-1472;Avenida Conjunto de Borges;São Mateus;São Paulo;SP;olívia.azevedo@uol.com.br;;Caroline Azevedo;Henry Azevedo;2011-02-13;2019-03-01
43;Sophie Guerra;2018-04-28;6;F;99358891660;(11) 95072-8895;Travessa Estação Murilo Cardoso;Penha;São Paulo;SP;sophie.guerra@gmail.com;613;Raquel Guerra;Luiz Miguel Guerra;2018-04-29;
44;Levi Cirino;2016-11-05;8;M;75354083825;(11) 97203-7607;Avenida Rua Melissa da Mata;Brás;São Paulo;SP;levi.cirino@uol.com.br;621;Maria Fernanda Cirino;Otávio Cirino;2016-11-06;
45;Mariana Guerra;2017-05-16;7;F;66088019931;(11) 95990-9328;Avenida Lago Camila Camargo;São Mateus;São Paulo;SP;marianaguerra@hotmail.com;616;Aylla Guerra;Henrique Guerra;2017-05-17;
46;Lorena Aragão;2013-01-10;11;F;71130554855;(11) 99552-7125;Rua Viela Silveira;Belém;São Paulo;SP;lorena842@ig.com.br;630;Isabelly Aragão;Vitor Gabriel Aragão;2013-01-11;
47;Caleb Moraes;2015-07-02;9;M;51609177927;(11) 99260-3205;Alameda Núcleo de Borges;Belém;São Paulo;SP;caleb567@uol.com.br;622;Yasmin Moraes;Emanuel Moraes;2015-07-03;
48;João Montenegro;2016-11-23;8;M;99586693417;(11) 97518-6617;Travessa Condomínio de Marques;São Mateus;São Paulo;SP;jmontenegro@gmail.com;619;Manuela Montenegro;Theo Montenegro;2016-11-24;
49;Isabelly Barros;2011-10-31;13;F;45228851550;(11) 98870-7839;Travessa Trecho Giovanna Porto;Penha;São Paulo;SP;isabelly110@outlook.com;636;Emanuelly Barros;Vitor Gabriel Barros;2011-11-01;
50;Cauã da Costa;2018-09-10;6;M;42043805782;(11) 92679-4675;Alameda Recanto Alves;Itaquera;São Paulo;SP;cda costa@terra.com.br;613;Aylla da Costa;Luiz Felipe da Costa;2018-09-11;
51;Bernardo Marques;2014-11-04;10;M;00439735907;(11) 99955-4218;Avenida Vale Pedro Miguel Ramos;Jardim Anália Franco;São Paulo;SP;bernardomarques@gmail.com;626;Hadassa Marques;Mateus Marques;2014-11-05;
52;Bernardo Rezende;2008-03-02;16;M;40572025968;(11) 91833-5934;Alameda Lagoa de Rezende;Vila Formosa;São Paulo;SP;brezende@outlook.com;644;Elisa Rezende;Benjamin Rezende;2008-03-03;
53;André Nogueira;2012-04-22;12;M;61533555473;(11) 94579-9691;Alameda Lagoa Monteiro;Tatuapé;São Paulo;SP;anogueira@ig.com.br;631;Eduarda Nogueira;Enrico Nogueira;2012-04-23;
54;Fernanda Peixoto;2008-10-19;16;F;56164840880;(11) 97143-9426;Alameda Conjunto de Gomes;São Mateus;São Paulo;SP;fernanda.peixoto@outlook.com;645;Daniela Peixoto;;2008-10-20;
55;Pietro Nunes;2012-11-07;12;M;36138612036;(11) 98523-6434;Rua Vila de Nogueira;Brás;São Paulo;SP;pietro.nunes@outlook.com;633;Ana Beatriz Nunes;Miguel Nunes;2012-11-08;
56;Mateus Sampaio;2012-06-09;12;M;61809190101;(11) 96860-9238;Rua Pátio Rezende;Jardim Anália Franco;São Paulo;SP;msampaio@hotmail.com;632;Carolina Sampaio;João Guilherme Sampaio;2012-06-10;
57;Raquel da Paz;2008-08-06;16;F;68424508830;(11) 93316-3019;Rua Area Ester Cunha;Belém;São Paulo;SP;raquel.da paz@bol.com.br;;Eduarda da Paz;Gael Henrique da Paz;2008-08-07;2015-04-17
58;Sofia Leão;2012-09-23;12;F;82223943196;(11) 93971-1891;Alameda Colônia Emilly Nogueira;Tatuapé;São Paulo;SP;sofia.leão@outlook.com;633;Ana Laura Leão;Levi Leão;2012-09-24;
59;João Montenegro;2018-03-25;6;M;31491357710;(11) 96379-6008;Avenida Passarela da Mota;Vila Formosa;São Paulo;SP;joãomontenegro@hotmail.com;614;Isabella Montenegro;Heitor Montenegro;2018-03-26;
60;Vitor Gabriel Albuquerque;2009-09-07;15;M;25777547849;(11) 92783-3879;Rua Chácara Otávio Ramos;Jardim Anália Franco;São Paulo;SP;vitor gabrielalbuquerque@terra.com.br;640;Ana Sophia Albuquerque;Luiz Miguel Albuquerque;2009-09-08;
61;Maria Luísa Cirino;2015-01-30;9;F;09969308403;(11) 99904-9842;Alameda Loteamento da Cruz;Carrão;São Paulo;SP;mcirino@gmail.com;622;Brenda Cirino;Benício Cirino;2015-01-31;
62;Enrico Pacheco;2019-04-11;5;M;92827229950;(11) 93395-8921;Travessa Campo Teixeira;Belém;São Paulo;SP;epacheco@uol.com.br;637;Maysa Pacheco;Lucca Pacheco;2019-04-12;
63;Sofia Rezende;2014-01-22;10;F;00518449890;(11) 93848-7171;Alameda Loteamento Vasconcelos;Mooca;São Paulo;SP;srezende@terra.com.br;627;Anna Liz Rezende;Luiz Otávio Rezende;2014-01-23;
64;Letícia Nogueira;2009-03-06;15;F;90827231891;(11) 95600-4465;Avenida Ladeira Casa Grande;Carrão;São Paulo;SP;letícia.nogueira@gmail.com;641;Ana Laura Nogueira;Luiz Gustavo Nogueira;2009-03-07;
65;Igor Cavalcante;2019-04-05;5;M;26030299270;(11) 93207-9399;Rua Condomínio Ribeiro;Vila Formosa;São Paulo;SP;igor265@gmail.com;;Luana Cavalcante;Ian Cavalcante;2019-04-06;2007-12-31
66;João Pinto;2017-10-21;7;M;77236929244;(11) 99369-5333;Avenida Feira Ayla Almeida;Mooca;São Paulo;SP;joão71@gmail.com;618;Vitória Pinto;Levi Pinto;2017-10-22;
67;Manuela da Cruz;2009-07-01;15;F;91279908865;(11) 92925-2526;Alameda Pátio de Moura;Carrão;São Paulo;SP;manuela2@terra.com.br;640;Maysa da Cruz;Otto da Cruz;2009-07-02;
68;Antonella Rezende;2008-10-09;16;F;76599162459;(11) 98817-4809;Rua Núcleo Olivia Pastor;Jardim Anália Franco;São Paulo;SP;antonella.rezende@bol.com.br;645;Sofia Rezende;;2008-10-10;
69;Luan Nogueira;2008-09-18;16;M;56512694478;(11) 99783-7939;Travessa Area de Siqueira;Vila Formosa;São Paulo;SP;luan774@gmail.com;643;Raquel Nogueira;João Nogueira;2008-09-19;
70;Agatha Viana;2016-10-21;8;F;95621372116;(11) 94513-9328;Alameda Lagoa de Marques;Mooca;São Paulo;SP;agatha.viana@terra.com.br;621;Maria Fernanda Viana;;2016-10-22;
71;Augusto Azevedo;2015-02-16;9;M;61143519036;(11) 97296-7564;Travessa Passarela Letícia Rodrigues;Vila Formosa;São Paulo;SP;augusto180@ig.com.br;622;Laís Azevedo;Arthur Gabriel Azevedo;2015-02-17;
72;Ana Julia Macedo;2008-09-14;16;F;98839205329;(11) 91004-3579;Rua Campo Enrico Duarte;Jardim Anália Franco;São Paulo;SP;ana julia686@uol.com.br;645;Milena Macedo;Henry Gabriel Macedo;2008-09-15;
73;Vitor Martins;2014-09-16;10;M;89554393740;(11) 97618-1076;Travessa Vale Ágatha Silva;Carrão;São Paulo;SP;vmartins@outlook.com;627;Isis Martins;João Martins;2014-09-17;
74;Zoe Sousa;2011-04-24;13;F;69735779080;(11) 98896-2904;Travessa Lago de Marques;Brás;São Paulo;SP;zoesousa@ig.com.br;635;Heloísa Sousa;João Lucas Sousa;2011-04-25;
75;Carolina Gomes;2013-06-22;11;F;41651827588;(11) 96792-4580;Travessa Condomínio de Rezende;Carrão;São Paulo;SP;carolinagomes@ig.com.br;630;Caroline Gomes;Cauã Gomes;2013-06-23;
76;Murilo Nogueira;2015-03-21;9;M;52111790801;(11) 91692-8901;Travessa Favela de Lopes;Vila Formosa;São Paulo;SP;murilo890@hotmail.com;623;Emanuelly Nogueira;João Felipe Nogueira;2015-03-22;
77;Davi Miguel Sousa;2012-10-29;12;M;86780856290;(11) 98490-2972;Alameda Quadra Isabelly Leão;Mooca;São Paulo;SP;davi miguel691@gmail.com;632;Aylla Sousa;Cauã Sousa;2012-10-30;
78;Davi da Luz;2016-02-29;8;M;47955276358;(11) 97866-7099;Travessa Viaduto Thomas Freitas;Penha;São Paulo;SP;davida luz@uol.com.br;621;Julia da Luz;Lucca da Luz;2016-03-01;
79;João da Costa;2018-11-07;6;M;27026728878;(11) 96172-8972;Travessa Campo Fernando Barros;Jardim Anália Franco;São Paulo;SP;joão.da costa@bol.com.br;613;Raquel da Costa;Murilo da Costa;2018-11-08;
80;Yago Brito;2008-07-11;16;M;54558845054;(11) 97746-2986;Travessa Núcleo de Cardoso;Vila Formosa;São Paulo;SP;yagobrito@bol.com.br;644;Ana Beatriz Brito;Luiz Miguel Brito;2008-07-12;
81;Isabella Araújo;2014-01-31;10;F;69472256934;(11) 97631-2168;Rua Sítio de Farias;Carrão;São Paulo;SP;iaraújo@hotmail.com;627;Mariana Araújo;Arthur Gabriel Araújo;2014-02-01;
82;Ana Liz Peixoto;2015-06-13;9;F;98762202388;(11) 95122-2311;Avenida Praça de Silveira;Carrão;São Paulo;SP;ana liz.peixoto@uol.com.br;623;Vitória Peixoto;Luiz Miguel Peixoto;2015-06-14;
83;Thomas da Paz;2008-01-10;16;M;21643347238;(11) 93150-9630;Avenida Morro Gustavo Henrique Oliveira;Belém;São Paulo;SP;thomas882@hotmail.com;645;Vitória da Paz;João Felipe da Paz;2008-01-11;
84;Heloisa da Costa;2013-06-30;11;F;97968845749;(11) 99841-4721;Rua Fazenda Henrique Ferreira;São Mateus;São Paulo;SP;hda costa@uol.com.br;630;Caroline da Costa;Ian da Costa;2013-07-01;
85;Daniel Nogueira;2017-07-21;7;M;77406493022;(11) 99981-7121;Avenida Travessa Rael Lima;Penha;São Paulo;SP;daniel256@gmail.com;616;Gabriela Nogueira;João Nogueira;2017-07-22;
86;Letícia Sá;2017-07-20;7;F;44846312227;(11) 95744-2808;Alameda Vale de Rocha;Vila Formosa;São Paulo;SP;letíciasá@hotmail.com;616;Fernanda Sá;Murilo Sá;2017-07-21;
87;Brenda Lima;2015-02-13;9;F;44270312014;(11) 99086-4558;Travessa Vila de da Mata;Penha;São Paulo;SP;brenda511@hotmail.com;622;Brenda Lima;Henrique Lima;2015-02-14;
88;Marcos Vinicius Siqueira;2007-10-03;17;M;72346013638;(11) 98257-5049;Rua Loteamento Clara Abreu;Itaquera;São Paulo;SP;marcos viniciussiqueira@ig.com.br;;Mariana Siqueira;Ravi Siqueira;2007-10-04;2007-12-31
89;Ana Lívia Campos;2009-08-02;15;F;88147435022;(11) 94568-2850;Avenida Passarela de Azevedo;Penha;São Paulo;SP;ana lívia.campos@hotmail.com;641;Eduarda Campos;Davi Miguel Campos;2009-08-03;
90;Daniela Martins;2009-02-09;15;F;25132719569;(11) 91983-1979;Travessa Chácara Souza;Carrão;São Paulo;SP;daniela110@gmail.com;640;Ágatha Martins;Arthur Gabriel Martins;2009-02-10;
91;Vitor Gabriel Aragão;2013-10-10;11;M;65240778425;(11) 99892-9029;Avenida Loteamento Levi Freitas;Vila Formosa;São Paulo;SP;vitor gabriel332@ig.com.br;630;Vitória Aragão;João Guilherme Aragão;2013-10-11;
92;Ana Sophia Araújo;2011-02-23;13;F;85708620900;(11) 96965-4912;Travessa Chácara de Aragão;Brás;São Paulo;SP;ana sophia397@gmail.com;;Maya Araújo;Mateus Araújo;2011-02-24;2024-03-09
93;Murilo Jesus;2009-04-10;15;M;10220317392;(11) 92617-1521;Alameda Viela Barros;São Mateus;São Paulo;SP;murilo.jesus@bol.com.br;641;Maria Cecília Jesus;Vitor Jesus;2009-04-11;
94;Letícia Araújo;2010-09-03;14;F;70586509495;(11) 99667-1666;Rua Pátio Yago Cunha;Jardim Anália Franco;São Paulo;SP;letíciaaraújo@gmail.com;;Sofia Araújo;Arthur Gabriel Araújo;2010-09-04;2017-08-18
95;Sarah Barbosa;2016-06-19;8;F;88619576148;(11) 93733-3955;Alameda Condomínio Alice Rocha;Tatuapé;São Paulo;SP;sarah547@bol.com.br;621;Alícia Barbosa;João Lucas Barbosa;2016-06-20;
96;Brenda Araújo;2015-07-20;9;F;59398368470;(11) 96898-8412;Alameda Lagoa de Aparecida;Penha;São Paulo;SP;brenda.araújo@outlook.com;623;Carolina Araújo;Mateus Araújo;2015-07-21;
97;Augusto Jesus;2010-01-20;14;M;48889921018;(11) 98542-6827;Avenida Aeroporto Costela;Carrão;São Paulo;SP;ajesus@bol.com.br;638;Bianca Jesus;João Guilherme Jesus;2010-01-21;
98;Isis Mendes;2011-01-10;13;F;57279194000;(11) 97251-2285;Rua Jardim da Rocha;Mooca;São Paulo;SP;isis.mendes@hotmail.com;635;Bianca Mendes;João Mendes;2011-01-11;
99;Luiz Miguel Azevedo;2011-05-07;13;M;04805892523;(11) 99231-4617;Avenida Praça de Cavalcanti;Belém;São Paulo;SP;luiz miguel.azevedo@ig.com.br;636;Luísa Azevedo;Bernardo Azevedo;2011-05-08;
100;Mateus Mendonça;2008-12-16;16;M;08641686277;(11) 93209-8879;Avenida Viaduto de Fogaça;São Mateus;São Paulo;SP;mateusmendonça@ig.com.br;;Isabella Mendonça;Luan Mendonça;2008-12-17;2012-08-25
101;Otávio da Costa;2008-04-09;16;M;66553559041;(11) 95994-3773;Travessa Praça Almeida;Vila Formosa;São Paulo;SP;otávio639@gmail.com;644;Heloísa da Costa;Miguel da Costa;2008-04-10;
102;Henrique Macedo;2012-12-04;12;M;10392405131;(11) 95999-8373;Alameda Travessa Liz Oliveira;Belém;São Paulo;SP;henriquemacedo@gmail.com;633;Aylla Macedo;Arthur Gabriel Macedo;2012-12-05;
